INDEX,PRIME
1,1
2,2
3,3
4,5
5,7
6,11
7,13
8,17
9,19
10,23
11,29
12,31
13,37
14,41
15,43
16,47
17,53
18,59
19,61
20,67
21,71
22,73
23,79
24,83
25,89
26,97
27,101
28,103
29,107
30,109
31,113
32,127
33,131
34,137
35,139
36,149
37,151
38,157
39,163
40,167
41,173
42,179
43,181
44,191
45,193
46,197
47,199
48,211
49,223
50,227
51,229
52,233
53,239
54,241
55,251
56,257
57,263
58,269
59,271
60,277
61,281
62,283
63,293
64,307
65,311
66,313
67,317
68,331
69,337
70,347
71,349
72,353
73,359
74,367
75,373
76,379
77,383
78,389
79,397
80,401
81,409
82,419
83,421
84,431
85,433
86,439
87,443
88,449
89,457
90,461
91,463
92,467
93,479
94,487
95,491
96,499
97,503
98,509
99,521
100,523
101,541
102,547
103,557
104,563
105,569
106,571
107,577
108,587
109,593
110,599
111,601
112,607
113,613
114,617
115,619
116,631
117,641
118,643
119,647
120,653
121,659
122,661
123,673
124,677
125,683
126,691
127,701
128,709
129,719
130,727
131,733
132,739
133,743
134,751
135,757
136,761
137,769
138,773
139,787
140,797
141,809
142,811
143,821
144,823
145,827
146,829
147,839
148,853
149,857
150,859
151,863
152,877
153,881
154,883
155,887
156,907
157,911
158,919
159,929
160,937
161,941
162,947
163,953
164,967
165,971
166,977
167,983
168,991
169,997
170,1009
171,1013
172,1019
173,1021
174,1031
175,1033
176,1039
177,1049
178,1051
179,1061
180,1063
181,1069
182,1087
183,1091
184,1093
185,1097
186,1103
187,1109
188,1117
189,1123
190,1129
191,1151
192,1153
193,1163
194,1171
195,1181
196,1187
197,1193
198,1201
199,1213
200,1217
201,1223
202,1229
203,1231
204,1237
205,1249
206,1259
207,1277
208,1279
209,1283
210,1289
211,1291
212,1297
213,1301
214,1303
215,1307
216,1319
217,1321
218,1327
219,1361
220,1367
221,1373
222,1381
223,1399
224,1409
225,1423
226,1427
227,1429
228,1433
229,1439
230,1447
231,1451
232,1453
233,1459
234,1471
235,1481
236,1483
237,1487
238,1489
239,1493
240,1499
241,1511
242,1523
243,1531
244,1543
245,1549
246,1553
247,1559
248,1567
249,1571
250,1579
251,1583
252,1597
253,1601
254,1607
255,1609
256,1613
257,1619
258,1621
259,1627
260,1637
261,1657
262,1663
263,1667
264,1669
265,1693
266,1697
267,1699
268,1709
269,1721
270,1723
271,1733
272,1741
273,1747
274,1753
275,1759
276,1777
277,1783
278,1787
279,1789
280,1801
281,1811
282,1823
283,1831
284,1847
285,1861
286,1867
287,1871
288,1873
289,1877
290,1879
291,1889
292,1901
293,1907
294,1913
295,1931
296,1933
297,1949
298,1951
299,1973
300,1979
301,1987
302,1993
303,1997
304,1999
305,2003
306,2011
307,2017
308,2027
309,2029
310,2039
311,2053
312,2063
313,2069
314,2081
315,2083
316,2087
317,2089
318,2099
319,2111
320,2113
321,2129
322,2131
323,2137
324,2141
325,2143
326,2153
327,2161
328,2179
329,2203
330,2207
331,2213
332,2221
333,2237
334,2239
335,2243
336,2251
337,2267
338,2269
339,2273
340,2281
341,2287
342,2293
343,2297
344,2309
345,2311
346,2333
347,2339
348,2341
349,2347
350,2351
351,2357
352,2371
353,2377
354,2381
355,2383
356,2389
357,2393
358,2399
359,2411
360,2417
361,2423
362,2437
363,2441
364,2447
365,2459
366,2467
367,2473
368,2477
369,2503
370,2521
371,2531
372,2539
373,2543
374,2549
375,2551
376,2557
377,2579
378,2591
379,2593
380,2609
381,2617
382,2621
383,2633
384,2647
385,2657
386,2659
387,2663
388,2671
389,2677
390,2683
391,2687
392,2689
393,2693
394,2699
395,2707
396,2711
397,2713
398,2719
399,2729
400,2731
401,2741
402,2749
403,2753
404,2767
405,2777
406,2789
407,2791
408,2797
409,2801
410,2803
411,2819
412,2833
413,2837
414,2843
415,2851
416,2857
417,2861
418,2879
419,2887
420,2897
421,2903
422,2909
423,2917
424,2927
425,2939
426,2953
427,2957
428,2963
429,2969
430,2971
431,2999
432,3001
433,3011
434,3019
435,3023
436,3037
437,3041
438,3049
439,3061
440,3067
441,3079
442,3083
443,3089
444,3109
445,3119
446,3121
447,3137
448,3163
449,3167
450,3169
451,3181
452,3187
453,3191
454,3203
455,3209
456,3217
457,3221
458,3229
459,3251
460,3253
461,3257
462,3259
463,3271
464,3299
465,3301
466,3307
467,3313
468,3319
469,3323
470,3329
471,3331
472,3343
473,3347
474,3359
475,3361
476,3371
477,3373
478,3389
479,3391
480,3407
481,3413
482,3433
483,3449
484,3457
